Date,Close,Volume,Company,Ticker,Close_Normalised,YearMonth
2020-12-01,7.644479274749756,2818200,BYD,BYDDY,268.6712728281304,2020-12
2020-12-02,7.3505859375,1875000,BYD,BYDDY,258.3421589465071,2020-12
2020-12-03,7.1519646644592285,1704600,BYD,BYDDY,251.36145714581386,2020-12
2020-12-04,7.345740795135498,1288200,BYD,BYDDY,258.1718725843733,2020-12
2020-12-07,7.444243431091309,1896000,BYD,BYDDY,261.6338256655451,2020-12
2020-12-08,7.623486995697021,1473000,BYD,BYDDY,267.9334825706185,2020-12
2020-12-09,7.273075103759766,1463400,BYD,BYDDY,255.61797936402795,2020-12
2020-12-10,7.387725353240967,688200,BYD,BYDDY,259.647453099397,2020-12
2020-12-11,7.15519380569458,768600,BYD,BYDDY,251.47494786959794,2020-12
2020-12-14,7.468465328216553,882000,BYD,BYDDY,262.4851234056602,2020-12
2020-12-15,7.6493239402771,1187400,BYD,BYDDY,268.8415424314449,2020-12
2020-12-16,7.53790283203125,725400,BYD,BYDDY,264.92555941985995,2020-12
2020-12-17,7.594419956207275,657600,BYD,BYDDY,266.9118984683696,2020-12
2020-12-18,7.734908580780029,1185000,BYD,BYDDY,271.8494823410227,2020-12
2020-12-21,8.448652267456055,1752000,BYD,BYDDY,296.9345689610747,2020-12
2020-12-22,8.053025245666504,1209000,BYD,BYDDY,283.02994423921876,2020-12
2020-12-23,8.212890625,1548000,BYD,BYDDY,288.64853948985314,2020-12
2020-12-24,7.896388530731201,544200,BYD,BYDDY,277.5248229535491,2020-12
2020-12-28,8.211274147033691,1234200,BYD,BYDDY,288.5917270926842,2020-12
2020-12-29,8.107927322387695,922800,BYD,BYDDY,284.95952116701716,2020-12
2020-12-30,8.300089836120605,909000,BYD,BYDDY,291.713224761323,2020-12
2020-12-31,8.521316528320312,665400,BYD,BYDDY,299.48841190496245,2020-12
2021-01-04,9.05904769897461,1303200,BYD,BYDDY,318.3873993790019,2021-01
2021-01-05,9.669442176818848,2561400,BYD,BYDDY,339.84019627929075,2021-01
2021-01-06,9.382007598876951,1901400,BYD,BYDDY,329.7380806040548,2021-01
2021-01-07,10.008550643920898,1378200,BYD,BYDDY,351.7584316761794,2021-01
2021-01-08,10.126431465148926,1606800,BYD,BYDDY,355.9014464117902,2021-01
2021-01-11,10.407407760620115,3363000,BYD,BYDDY,365.7765806394578,2021-01
2021-01-12,10.99680995941162,2386800,BYD,BYDDY,386.49158728223483,2021-01
2021-01-13,10.77073860168457,1833600,BYD,BYDDY,378.54613053528084,2021-01
2021-01-14,10.316978454589844,2703600,BYD,BYDDY,362.59837112656555,2021-01
2021-01-15,9.6726713180542,2125200,BYD,BYDDY,339.95368700307483,2021-01
2021-01-19,9.931039810180664,1637400,BYD,BYDDY,349.0342520937003,2021-01
2021-01-20,9.6726713180542,3717600,BYD,BYDDY,339.95368700307483,2021-01
2021-01-21,10.362194061279297,1770000,BYD,BYDDY,364.18750940065013,2021-01
2021-01-22,10.725522994995115,1858200,BYD,BYDDY,376.9569922611962,2021-01
2021-01-25,11.400511741638184,2715000,BYD,BYDDY,400.68000584882793,2021-01
2021-01-26,11.03395175933838,2314800,BYD,BYDDY,387.7969652292209,2021-01
2021-01-27,10.367036819458008,2170200,BYD,BYDDY,364.35771196868785,2021-01
2021-01-28,10.10866928100586,2578200,BYD,BYDDY,355.27718039570084,2021-01
2021-01-29,9.782479286193848,2088600,BYD,BYDDY,343.8129749292254,2021-01
2021-02-01,10.383186340332031,1863600,BYD,BYDDY,364.92529965816203,2021-02
2021-02-02,11.145373344421388,2571000,BYD,BYDDY,391.71296499962506,2021-02
2021-02-03,10.972589492797852,3207000,BYD,BYDDY,385.6403398185774,2021-02
2021-02-04,10.652857780456545,1904400,BYD,BYDDY,374.40311579967016,2021-02
2021-02-05,10.512371063232422,1961400,BYD,BYDDY,369.46559896229394,2021-02
2021-02-08,10.54628086090088,1043400,BYD,BYDDY,370.65738563258054,2021-02
2021-02-09,11.040410995483398,1579800,BYD,BYDDY,388.02398019442745,2021-02
2021-02-10,10.99680995941162,1243200,BYD,BYDDY,386.49158728223483,2021-02
2021-02-11,11.071091651916504,699600,BYD,BYDDY,389.10227614093,2021-02
2021-02-12,11.046870231628418,588600,BYD,BYDDY,388.25099515963404,2021-02
2021-02-16,11.142142295837402,1038600,BYD,BYDDY,391.59940724056406,2021-02
2021-02-17,10.972589492797852,1967400,BYD,BYDDY,385.6403398185774,2021-02
2021-02-18,10.462310791015623,1872000,BYD,BYDDY,367.70619108489467,2021-02
2021-02-19,10.397719383239746,981000,BYD,BYDDY,365.43607495046723,2021-02
2021-02-22,9.688819885253906,1784400,BYD,BYDDY,340.5212411749106,2021-02
2021-02-23,9.123639106750488,5322000,BYD,BYDDY,320.6575155134295,2021-02
2021-02-24,9.141402244567873,3577800,BYD,BYDDY,321.2818150471573,2021-02
2021-02-25,8.539079666137695,3591600,BYD,BYDDY,300.11271143869016,2021-02
2021-02-26,8.325926780700684,4246200,BYD,BYDDY,292.6212846221494,2021-02
2021-03-01,9.164008140563965,2608200,BYD,BYDDY,322.0763171489226,2021-03
2021-03-02,8.771612167358398,2278200,BYD,BYDDY,308.28525018612766,2021-03
2021-03-03,8.611745834350586,2036400,BYD,BYDDY,302.66662141785474,2021-03
2021-03-04,7.868937015533447,4233600,BYD,BYDDY,276.56001773083074,2021-03
2021-03-05,8.05948257446289,3781800,BYD,BYDDY,283.25689216914844,2021-03
2021-03-08,7.213326930999756,4108200,BYD,BYDDY,253.5180825564573,2021-03
2021-03-09,7.936758995056152,3049200,BYD,BYDDY,278.9436748655,2021-03
2021-03-10,7.712301254272461,1806000,BYD,BYDDY,271.05492996279963,2021-03
2021-03-11,8.411511421203613,2853600,BYD,BYDDY,295.6292245317272,2021-03
2021-03-12,8.043335914611816,1557000,BYD,BYDDY,282.6894050325896,2021-03
2021-03-15,7.835026264190674,1216800,BYD,BYDDY,275.36819754290576,2021-03
2021-03-16,7.972285270690918,1538400,BYD,BYDDY,280.1922739329555,2021-03
2021-03-17,8.107927322387695,1150800,BYD,BYDDY,284.95952116701716,2021-03
2021-03-18,7.788196563720703,1348200,BYD,BYDDY,273.72233066574825,2021-03
2021-03-19,7.802729606628418,848400,BYD,BYDDY,274.2331059580535,2021-03
2021-03-22,7.856017589569092,615000,BYD,BYDDY,276.1059542827791,2021-03
2021-03-23,7.463620662689209,1417200,BYD,BYDDY,262.3148538023456,2021-03
2021-03-24,6.732115268707275,4603800,BYD,BYDDY,236.60551792502358,2021-03
2021-03-25,7.017934799194336,1615800,BYD,BYDDY,246.65087147954816,2021-03
2021-03-26,7.331207752227783,2397600,BYD,BYDDY,257.6610972920681,2021-03
2021-03-29,7.026010513305664,1903200,BYD,BYDDY,246.9346988419237,2021-03
2021-03-30,7.161653518676758,1441200,BYD,BYDDY,251.70197959362378,2021-03
2021-03-31,6.987254619598389,1575000,BYD,BYDDY,245.57259229186488,2021-03
2021-04-01,7.305370330810547,1531800,BYD,BYDDY,256.7530206724225,2021-04
2021-04-05,7.470080375671387,1047000,BYD,BYDDY,262.54188552637146,2021-04
2021-04-06,7.449088096618652,1104600,BYD,BYDDY,261.80409526885967,2021-04
2021-04-07,7.26015567779541,1051800,BYD,BYDDY,255.1639159159763,2021-04
2021-04-08,7.365118980407715,1228200,BYD,BYDDY,258.85293423881234,2021-04
2021-04-09,7.282763957977295,727800,BYD,BYDDY,255.95850181183786,2021-04
2021-04-12,7.076067924499512,1275600,BYD,BYDDY,248.69400616640752,2021-04
2021-04-13,7.172956466674805,1282800,BYD,BYDDY,252.0992306445065,2021-04
2021-04-14,7.274689197540283,1211400,BYD,BYDDY,255.67470796710077,2021-04
2021-04-15,7.277919292449951,883200,BYD,BYDDY,255.78823220852328,2021-04
2021-04-16,7.318288326263428,1320000,BYD,BYDDY,257.20703384401645,2021-04
2021-04-19,7.58957576751709,1243800,BYD,BYDDY,266.74164562387426,2021-04
2021-04-20,7.492687702178955,702600,BYD,BYDDY,263.33643790459456,2021-04
